olympic_record_id,athlete_name,age,year,medal,country,sport,event
1,Edgar Lindenau Aabye,34.0,1900,Gold,Denmark,Tug-Of-War,Tug-Of-War Men's Tug-Of-War
2,Paavo Johannes Aaltonen,28.0,1948,Gold,Finland,Gymnastics,Gymnastics Men's Team All-Around
3,Paavo Johannes Aaltonen,28.0,1948,Gold,Finland,Gymnastics,Gymnastics Men's Horse Vault
4,Paavo Johannes Aaltonen,28.0,1948,Gold,Finland,Gymnastics,Gymnastics Men's Pommelled Horse
5,Kjetil Andr Aamodt,20.0,1992,Gold,Norway,Alpine Skiing,Alpine Skiing Men's Super G
6,Kjetil Andr Aamodt,30.0,2002,Gold,Norway,Alpine Skiing,Alpine Skiing Men's Super G
7,Kjetil Andr Aamodt,30.0,2002,Gold,Norway,Alpine Skiing,Alpine Skiing Men's Combined
8,Kjetil Andr Aamodt,34.0,2006,Gold,Norway,Alpine Skiing,Alpine Skiing Men's Super G
9,Ragnhild Margrethe Aamodt,27.0,2008,Gold,Norway,Handball,Handball Women's Handball
10,Roald Edgar Aas,31.0,1960,Gold,Norway,Speed Skating,"Speed Skating Men's 1,500 metres"
12,Ren Abadie,21.0,1956,Gold,France,Cycling,"Cycling Men's Road Race, Team"
13,Aleksey Aleksandrovich Abalmasov,28.0,2008,Gold,Belarus,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
14,Luc Abalo,23.0,2008,Gold,France,Handball,Handball Men's Handball
15,Luc Abalo,27.0,2012,Gold,France,Handball,Handball Men's Handball
16,Jouan Patrice Abanda Etong,22.0,2000,Gold,Cameroon,Football,Football Men's Football
17,Jos Mara Abarca Plotas,22.0,1996,Gold,Spain,Water Polo,Water Polo Men's Water Polo
18,Alejandro Abascal Garca,28.0,1980,Gold,Spain,Sailing,Sailing Mixed Two Person Heavyweight Dinghy
19,Jol Marc Abati,38.0,2008,Gold,France,Handball,Handball Men's Handball
20,Agostino Abbagnale,22.0,1988,Gold,Italy,Rowing,Rowing Men's Quadruple Sculls
21,Agostino Abbagnale,29.0,1996,Gold,Italy,Rowing,Rowing Men's Double Sculls
22,Agostino Abbagnale,34.0,2000,Gold,Italy,Rowing,Rowing Men's Quadruple Sculls
23,Carmine Abbagnale,22.0,1984,Gold,Italy,Rowing,Rowing Men's Coxed Pairs
24,Carmine Abbagnale,26.0,1988,Gold,Italy,Rowing,Rowing Men's Coxed Pairs
25,Giuseppe Abbagnale,25.0,1984,Gold,Italy,Rowing,Rowing Men's Coxed Pairs
26,Giuseppe Abbagnale,29.0,1988,Gold,Italy,Rowing,Rowing Men's Coxed Pairs
27,Margaret Ives Abbott (-Dunne),23.0,1900,Gold,United States,Golf,Golf Women's Individual
28,Lala Abdul Rashid,38.0,1960,Gold,Pakistan,Hockey,Hockey Men's Hockey
30,Mukhammad Kadyr Abdullayev,26.0,2000,Gold,Uzbekistan,Boxing,Boxing Men's Light-Welterweight
31,Namiq Yadulla Abdullayev,29.0,2000,Gold,Azerbaijan,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
32,Julius Shareef Abdur-Rahim,23.0,2000,Gold,United States,Basketball,Basketball Men's Basketball
34,Masashi Abe,28.0,1994,Gold,Japan,Nordic Combined,Nordic Combined Men's Team
35,George Gordon Abel,35.0,1952,Gold,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey
36,Abelardo Fernndez Antua,22.0,1992,Gold,Spain,Football,Football Men's Football
39,Gezahgne Abera,22.0,2000,Gold,Ethiopia,Athletics,Athletics Men's Marathon
40,Michael Brent Abernathy,22.0,2000,Gold,United States,Baseball,Baseball Men's Baseball
41,Ismail Abilov (-Nizamolu),29.0,1980,Gold,Bulgaria,Wrestling,"Wrestling Men's Middleweight, Freestyle"
42,"Edgar Allen ""Ed"" Ablowich",19.0,1932,Gold,United States,Athletics,Athletics Men's 4 x 400 metres Relay
43,Attila brahm,21.0,1988,Gold,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
45,Isak Abrahamsen,21.0,1912,Gold,Norway,Gymnastics,"Gymnastics Men's Team All-Around, Free System"
47,Julien Absalon,23.0,2004,Gold,France,Cycling,"Cycling Men's Mountainbike, Cross-Country"
48,Julien Absalon,27.0,2008,Gold,France,Cycling,"Cycling Men's Mountainbike, Cross-Country"
49,Ahmad Abughaush,20.0,2016,Gold,Jordan,Taekwondo,Taekwondo Men's Featherweight
51,William Accambray,24.0,2012,Gold,France,Handball,Handball Men's Handball
52,Fausto Alesio Acke (Padovini-),22.0,1920,Gold,Sweden,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System"
53,Paul Douglas Ackerley,27.0,1976,Gold,New Zealand,Hockey,Hockey Men's Hockey
54,"Charles Edwin ""Charley"" Ackerly",22.0,1920,Gold,United States,Wrestling,"Wrestling Men's Featherweight, Freestyle"
57,Lautaro Germn Acosta,20.0,2008,Gold,Argentina,Football,Football Men's Football
58,"Gordon Belgum ""Gordy"" Adam",21.0,1936,Gold,United States,Rowing,Rowing Men's Coxed Eights
59,"Michael B. ""Mike"" Adam",24.0,2006,Gold,Canada,Curling,Curling Men's Curling
60,Pierre Louis Eugne Adam,24.0,1948,Gold,France,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
61,Harry Lester Adams,31.0,1912,Gold,United States,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
64,Platt Adams,27.0,1912,Gold,United States,Athletics,Athletics Men's Standing High Jump
65,Valerie Kasanita Adams-Vili (-Price),23.0,2008,Gold,New Zealand,Athletics,Athletics Women's Shot Put
66,Valerie Kasanita Adams-Vili (-Price),27.0,2012,Gold,New Zealand,Athletics,Athletics Women's Shot Put
67,Filip Kamil Adamski,29.0,2012,Gold,Germany,Rowing,Rowing Men's Coxed Eights
68,Herbert Adamski,26.0,1936,Gold,Germany,Rowing,Rowing Men's Coxed Pairs
69,Adenzia Aparecida Ferreira da Silva,25.0,2012,Gold,Brazil,Volleyball,Volleyball Women's Volleyball
71,"Charles ""Chuck"" Adkins",20.0,1952,Gold,United States,Boxing,Boxing Men's Light-Welterweight
72,Derrick Ralph Adkins,26.0,1996,Gold,United States,Athletics,Athletics Men's 400 metres Hurdles
73,Nils August Domingo Adlercreutz,45.0,1912,Gold,Sweden,Equestrianism,"Equestrianism Men's Three-Day Event, Team"
74,Erik William Adlerz,19.0,1912,Gold,Sweden,Diving,Diving Men's Platform
75,Erik William Adlerz,19.0,1912,Gold,Sweden,Diving,Diving Men's Plain High
78,Nathan Ghar-Jun Adrian,19.0,2008,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
79,Nathan Ghar-Jun Adrian,23.0,2012,Gold,United States,Swimming,Swimming Men's 100 metres Freestyle
80,Nathan Ghar-Jun Adrian,23.0,2012,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay
81,Nathan Ghar-Jun Adrian,27.0,2016,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
82,Nathan Ghar-Jun Adrian,27.0,2016,Gold,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay
83,Lavinia Agache (-Carney),16.0,1984,Gold,Romania,Gymnastics,Gymnastics Women's Team All-Around
84,Andre Kirk Agassi,26.0,1996,Gold,United States,Tennis,Tennis Men's Singles
85,Marilyn Agliotti,29.0,2008,Gold,Netherlands,Hockey,Hockey Women's Hockey
86,Marilyn Agliotti,33.0,2012,Gold,Netherlands,Hockey,Hockey Women's Hockey
87,Yannick Agnel,20.0,2012,Gold,France,Swimming,Swimming Men's 200 metres Freestyle
88,Yannick Agnel,20.0,2012,Gold,France,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
89,Meghan Christina Agosta (-Marciano),18.0,2006,Gold,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey
90,Meghan Christina Agosta (-Marciano),23.0,2010,Gold,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey
91,Meghan Christina Agosta (-Marciano),26.0,2014,Gold,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey
92,Judit goston-Mendelnyi,27.0,1964,Gold,Hungary,Fencing,"Fencing Women's Foil, Team"
93,Carlo Agostoni Faini,19.0,1928,Gold,Italy,Fencing,"Fencing Men's epee, Team"
95,"Estella ""Stella"" Agsteribbe (-Blits)",19.0,1928,Gold,Netherlands,Gymnastics,Gymnastics Women's Team All-Around
96,Sergio Leonel Agero del Castillo,20.0,2008,Gold,Argentina,Football,Football Men's Football
97,"Taismary ""Tai"" Agero Leiva (-Botteghi)",23.0,2000,Gold,Cuba,Volleyball,Volleyball Women's Volleyball
99,George Lewis Ahlgren,19.0,1948,Gold,United States,Rowing,Rowing Men's Coxed Eights
101,Arne Per hman,23.0,1948,Gold,Sweden,Athletics,Athletics Men's Triple Jump
102,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",22.0,1992,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
103,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",22.0,1992,Gold,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay
104,Muhammad Ashfaq Ahmed,21.0,1968,Gold,Pakistan,Hockey,Hockey Men's Hockey
105,Bashir Ahmed,25.0,1960,Gold,Pakistan,Hockey,Hockey Men's Hockey
106,Ishtiaq Ahmed,21.0,1984,Gold,Pakistan,Hockey,Hockey Men's Hockey
107,Mushtaq Ahmed,28.0,1984,Gold,Pakistan,Hockey,Hockey Men's Hockey
108,Mushtaq Ahmed,27.0,1960,Gold,Pakistan,Hockey,Hockey Men's Hockey
109,Riaz Ahmed,27.0,1968,Gold,Pakistan,Hockey,Hockey Men's Hockey
111,"Christian ""Chris"" Ahrens",28.0,2004,Gold,United States,Rowing,Rowing Men's Coxed Eights
112,Nobuyuki Aihara,25.0,1960,Gold,Japan,Gymnastics,Gymnastics Men's Team All-Around
113,Nobuyuki Aihara,25.0,1960,Gold,Japan,Gymnastics,Gymnastics Men's Floor Exercise
118,Kurt Harold Ainsworth,22.0,2000,Gold,United States,Baseball,Baseball Men's Baseball
120,Brett Aitken,29.0,2000,Gold,Australia,Cycling,Cycling Men's Madison
122,Artur Surenovych Aivazian,35.0,2008,Gold,Ukraine,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
123,Omar Ajete Iglesias,27.0,1992,Gold,Cuba,Baseball,Baseball Men's Baseball
124,Omar Ajete Iglesias,31.0,1996,Gold,Cuba,Baseball,Baseball Men's Baseball
125,Chioma Ajunwa (-Opara),24.0,1996,Gold,Nigeria,Athletics,Athletics Women's Long Jump
126,Nasuh Akar,23.0,1948,Gold,Turkey,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
127,Ernst Gunnar kerlund,24.0,1948,Gold,Sweden,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres"
129,Michelle Anne Akers,30.0,1996,Gold,United States,Football,Football Women's Football
